eBirdID,CommonName,Count,Region,Location,County,Date,Time
S67030975,Red-tailed Hawk,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S66695801,Red-tailed Hawk,1,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S65370798,Red-tailed Hawk,2,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S63799861,Red-tailed Hawk,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S66111768,Red-tailed Hawk,1,US-CO,Riverbend Ponds Natural Area,Larimer,3/22/20,17:24:00
S66169221,Red-tailed Hawk,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Red-tailed Hawk,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Red-tailed Hawk,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S63478265,Red-tailed Hawk,2,US-CO,Timnath Reservoir--east bay,Larimer,1/17/20,09:36:00
S66111081,Red-tailed Hawk (Harlan's),1,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S63777487,Rough-legged Hawk,1,US-CO,"27367–27691 N Highway 287, Livermore US-CO (40.9097,-105.3131)",Larimer,1/25/20,14:39:00
S63799861,Ferruginous Hawk,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S63478265,Ferruginous Hawk,1,US-CO,Timnath Reservoir--east bay,Larimer,1/17/20,09:36:00
S65698642,Eastern Screech-Owl,1,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66024072,Eastern Screech-Owl,2,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66695801,Great Horned Owl,1,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S65698642,Great Horned Owl,1,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S63589677,Belted Kingfisher,1,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66110158,Belted Kingfisher,1,US-CO,Arapahoe Bend Natural Area,Larimer,3/22/20,16:30:00
S66858963,Belted Kingfisher,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/9/20,07:11:00
S66695801,Belted Kingfisher,1,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S66169221,Belted Kingfisher,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66947114,Belted Kingfisher,1,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S65370798,Yellow-bellied Sapsucker,1,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S63589677,Downy Woodpecker,1,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S63716995,Downy Woodpecker,1,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/21/20,08:46:00
S63726703,Downy Woodpecker,1,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/24/20,08:12:00
S66719539,Downy Woodpecker,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S66695801,Downy Woodpecker,1,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S63597345,Downy Woodpecker,1,US-CO,Grandview Cemetery,Larimer,1/20/20,12:00:00
S66024072,Downy Woodpecker,1,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66112732,Downy Woodpecker,1,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S66676560,Downy Woodpecker,1,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S65394077,Downy Woodpecker,2,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66024072,Hairy Woodpecker,1,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66642699,Hairy Woodpecker,1,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S65364289,Downy/Hairy Woodpecker,1,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S66719539,Northern Flicker,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S67030975,Northern Flicker,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S67143580,Northern Flicker,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/13/20,09:10:00
S66695801,Northern Flicker,2,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S63597345,Northern Flicker,2,US-CO,Grandview Cemetery,Larimer,1/20/20,12:00:00
S65364289,Northern Flicker,8,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,Northern Flicker,2,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66024072,Northern Flicker,2,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66642699,Northern Flicker,2,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66112732,Northern Flicker,1,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S66676560,Northern Flicker,1,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S63525614,Northern Flicker,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/18/20,14:11:00
S63799861,Northern Flicker,2,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S66128302,Northern Flicker,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/23/20,08:29:00
S66169221,Northern Flicker,3,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66771868,Northern Flicker,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/7/20,07:41:00
S66947114,Northern Flicker,3,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S65394077,Northern Flicker,2,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66438782,Northern Flicker,2,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66922839,Northern Flicker,2,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S66718618,Northern Flicker,1,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S66013236,Northern Flicker,1,US-CO,Yard - Parker St,Larimer,3/16/20,11:00:00
S65698642,Northern Flicker (Red-shafted),2,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S63589677,American Kestrel,1,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S67030975,American Kestrel,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S66111081,American Kestrel,1,US-CO,Colorado State University Environmental Learning Center,Larimer,3/22/20,17:06:00
S66375157,American Kestrel,1,US-CO,Coyote Ridge Natural Area,Larimer,3/29/20,12:31:00
S66642699,Peregrine Falcon,1,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S63799861,Northern Shrike,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S66642699,Steller's Jay,6,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66041652,Steller's Jay,1,US-CO,"Pike and San Isabel National Forests, Woodland Park US-CO 39.12791, -105.23136",Teller,3/15/20,09:33:00
S63716995,Blue Jay,3,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/21/20,08:46:00
S63726703,Blue Jay,1,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/24/20,08:12:00
S63805357,Blue Jay,1,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/26/20,10:56:00
S67030975,Blue Jay,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S66695801,Blue Jay,1,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S65364289,Blue Jay,4,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,Blue Jay,1,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66024072,Blue Jay,2,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66676560,Blue Jay,2,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S63799861,Blue Jay,1,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S65394077,Blue Jay,1,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66438782,Blue Jay,7,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66922839,Blue Jay,4,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S66718618,Blue Jay,2,US-CO,Topminnow Natural Area (East Horsetooth Gravel Pit),Larimer,4/6/20,09:38:00
S66642699,Woodhouse's Scrub-Jay,2,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S63589677,Black-billed Magpie,2,US-CO,South Platte River--88th Ave area,Adams,1/19/20,10:51:00
S66375157,Black-billed Magpie,5,US-CO,Coyote Ridge Natural Area,Larimer,3/29/20,12:31:00
S65698642,Black-billed Magpie,1,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66642699,Black-billed Magpie,6,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66676560,Black-billed Magpie,4,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S63771755,Clark's Nutcracker,1,US-WY,Medicine Bow NF--Vedauwoo CG area,Albany,1/25/20,13:14:00
S66108842,American Crow,4,US-CO,"3200–3648 E Horsetooth Rd, Fort Collins US-CO 40.53773, -105.01571",Larimer,3/22/20,16:22:00
S63716995,American Crow,3,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/21/20,08:46:00
S66719539,American Crow,1,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S63597345,American Crow,2,US-CO,Grandview Cemetery,Larimer,1/20/20,12:00:00
S65364289,American Crow,6,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,American Crow,2,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S66642699,American Crow,4,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S65394077,American Crow,2,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66438782,American Crow,6,US-CO,Spring Park,Larimer,3/31/20,08:55:00
S66922839,American Crow,3,US-CO,Spring Park,Larimer,4/10/20,07:58:00
S63771755,Common Raven,2,US-WY,Medicine Bow NF--Vedauwoo CG area,Albany,1/25/20,13:14:00
S66375157,Common Raven,3,US-CO,Coyote Ridge Natural Area,Larimer,3/29/20,12:31:00
S66642699,Common Raven,1,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66112732,Common Raven,1,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S63726703,Black-capped Chickadee,8,US-CO,"913 E Prospect Rd, Fort Collins US-CO (40.5656,-105.0606)",Larimer,1/24/20,08:12:00
S66110158,Black-capped Chickadee,4,US-CO,Arapahoe Bend Natural Area,Larimer,3/22/20,16:30:00
S66719539,Black-capped Chickadee,9,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/6/20,07:59:00
S67030975,Black-capped Chickadee,2,US-CO,Arapahoe Bend Natural Area--Rigden Reservoir (Strauss Cabin Lake),Larimer,4/11/20,09:26:00
S66695801,Black-capped Chickadee,6,US-CO,Colorado State University Environmental Learning Center,Larimer,4/5/20,16:32:00
S63597345,Black-capped Chickadee,6,US-CO,Grandview Cemetery,Larimer,1/20/20,12:00:00
S65364289,Black-capped Chickadee,19,US-CO,Grandview Cemetery,Larimer,3/2/20,08:23:00
S65370798,Black-capped Chickadee,8,US-CO,Grandview Cemetery,Larimer,3/2/20,11:20:00
S65698642,Black-capped Chickadee,2,US-CO,Lee Martinez Park,Larimer,3/11/20,18:14:00
S66024072,Black-capped Chickadee,2,US-CO,Lee Martinez Park,Larimer,3/20/20,17:59:00
S66642699,Black-capped Chickadee,2,US-CO,Lory State Park,Larimer,4/4/20,09:29:00
S66112732,Black-capped Chickadee,3,US-CO,Prospect Ponds Natural Area,Larimer,3/22/20,17:38:00
S66676560,Black-capped Chickadee,2,US-CO,Reservoir Ridge Natural Area,Larimer,4/5/20,09:54:00
S63525614,Black-capped Chickadee,5,US-CO,Riverbend Ponds Natural Area,Larimer,1/18/20,14:11:00
S63799861,Black-capped Chickadee,2,US-CO,Riverbend Ponds Natural Area,Larimer,1/26/20,08:12:00
S66169221,Black-capped Chickadee,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,3/24/20,10:42:00
S66947114,Black-capped Chickadee,2,US-CO,Running Deer & Cottonwood Hollow Natural Areas,Larimer,4/10/20,18:02:00
S65394077,Black-capped Chickadee,4,US-CO,Spring Park,Larimer,3/3/20,08:38:00
S66438782,Black-capped Chickadee,4,US-CO,Spring Park,Larimer,3/31/20,08:55:00
